1 Apple,iPod,MM,AppMM1906300000
2 Apple,iPod,MM,AppMM1906000001
3 Apple,iPod,MM,AppMM1906700002
4 Apple,iPod,MM,AppMM1906400003
5 Apple,iPod,MM,AppMM1906100004
6 Apple,iPod,MM,AppMM1906800005
7 Apple,iPod,MM,AppMM1906500006
8 Apple,iPod,MM,AppMM1906200007
9 Apple,iPod,MM,AppMM1906900008
10 Apple,iPod,MM,AppMM1906600009
11 MicroSoft,Zune,AM,MicAM1906900000
12 MicroSoft,Zune,AM,MicAM1906600001
13 MicroSoft,Zune,AM,MicAM1906300002
14 MicroSoft,Zune,AM,MicAM1906000003
15 MicroSoft,Zune,AM,MicAM1906700004
16 Apple,iPod,MM,AppMM1906000010
17 Apple,iPod,MM,AppMM1906700011
18 Apple,iPod,MM,AppMM1906400012
19 Apple,iPod,MM,AppMM1906100013
20 Apple,iPod,MM,AppMM1906800014
21 Apple,iPod,MM,AppMM1906500015
22 Apple,iPod,MM,AppMM1906200016
23 Apple,iPod,MM,AppMM1906900017
24 Apple,iPod,MM,AppMM1906600018
